comparison_id,configuration_a,configuration_b,paper_label_a,paper_label_b,outcome,difference_definition,paired_independent_run_count,paired_difference_mean,paired_difference_sd,paired_difference_median,paired_difference_min,paired_difference_max,exact_two_sided_sign_flip_p,difference_formal_run_0,difference_formal_run_1,difference_formal_run_2,difference_formal_run_3,difference_formal_run_4
DTH_vs_THDOT,HPR_DTH_PS,HPR_THDOT_PS,HPR-DTH-PS,HPR-THDOT-PS,run_mean_scaled_progress_x100,B_minus_A,5,0.6238917346990783,2.3158073334979377,0.0,-2.622537082408031,2.927968592666846,0.5,0.0,2.927968592666846,-0.0050741707354900415,-2.622537082408031,2.8191013339720667
DTH_vs_THDOT,HPR_DTH_PS,HPR_THDOT_PS,HPR-DTH-PS,HPR-THDOT-PS,run_mean_forward_body_lengths,B_minus_A,5,0.6930910897084648,2.5727294443044464,0.0,-2.9135254749451605,3.252764339588741,0.5,0.0,3.252764339588741,-0.005633538428436892,-2.9135254749451605,3.1318501223271804
DTH_vs_THDOT,HPR_DTH_PS,HPR_THDOT_PS,HPR-DTH-PS,HPR-THDOT-PS,run_mean_rotation_span_degrees,B_minus_A,5,5.508040507204619,19.4094777077099,0.0,-20.645791767373062,28.74501844365478,0.75,0.0,28.74501844365478,-0.6983238179266289,-20.645791767373062,20.139299677668006
DTH_vs_THDOT,HPR_DTH_PS,HPR_THDOT_PS,HPR-DTH-PS,HPR-THDOT-PS,run_lenient_success_rate,B_minus_A,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DTH_vs_THDOT,HPR_DTH_PS,HPR_THDOT_PS,HPR-DTH-PS,HPR-THDOT-PS,run_secondary_strict_success_rate,B_minus_A,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DTH_vs_OBS,HPR_DTH_PS,HPR_OBS_PS,HPR-DTH-PS,HPR-OBS-PS,run_mean_scaled_progress_x100,B_minus_A,5,0.4732128721360816,1.0391137176864316,-0.0050741707354900415,-0.0050741707354900415,2.3315510921709355,0.5,-0.0050741707354900415,2.3315510921709355,-0.0050741707354900415,0.049735780715942646,-0.0050741707354900415
DTH_vs_OBS,HPR_DTH_PS,HPR_OBS_PS,HPR-DTH-PS,HPR-OBS-PS,run_mean_forward_body_lengths,B_minus_A,5,0.5256892141183316,1.1543794780923322,-0.005633538428436892,-0.005633538428436892,2.590168690554964,0.5,-0.005633538428436892,2.590168690554964,-0.005633538428436892,0.05517799532200485,-0.005633538428436892
DTH_vs_OBS,HPR_DTH_PS,HPR_OBS_PS,HPR-DTH-PS,HPR-OBS-PS,run_mean_rotation_span_degrees,B_minus_A,5,3.4715764256932795,6.331069328913135,-0.6983238179266289,-0.6983238179266289,13.594193916801613,0.5,-0.6983238179266289,13.594193916801613,-0.6983238179266289,5.858659665444669,-0.6983238179266289
DTH_vs_OBS,HPR_DTH_PS,HPR_OBS_PS,HPR-DTH-PS,HPR-OBS-PS,run_lenient_success_rate,B_minus_A,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DTH_vs_OBS,HPR_DTH_PS,HPR_OBS_PS,HPR-DTH-PS,HPR-OBS-PS,run_secondary_strict_success_rate,B_minus_A,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
OBS_vs_O2_PS,HPR_OBS_PS,HPR_O2_PS,HPR-OBS-PS,HPR-O2-PS,run_mean_scaled_progress_x100,B_minus_A,5,1.8342140503068336,1.415370300263063,2.8567517957918462,0.22756921577453593,2.881999318145972,0.0625,2.8634952144853885,0.34125470733642604,2.881999318145972,0.22756921577453593,2.8567517957918462
OBS_vs_O2_PS,HPR_OBS_PS,HPR_O2_PS,HPR-OBS-PS,HPR-O2-PS,run_mean_forward_body_lengths,B_minus_A,5,2.0377193523225445,1.5723618225598817,3.1737178190504927,0.25280979764712885,3.2017324475344022,0.0625,3.181114572609543,0.37922212477115425,3.2017324475344022,0.25280979764712885,3.1737178190504927
OBS_vs_O2_PS,HPR_OBS_PS,HPR_O2_PS,HPR-OBS-PS,HPR-O2-PS,run_mean_rotation_span_degrees,B_minus_A,5,24.698792648626625,10.457954372839742,30.65610051260701,11.456720373657184,33.416871228550434,0.0625,30.65610051260701,15.333402863448878,32.63086826486962,11.456720373657184,33.416871228550434
OBS_vs_O2_PS,HPR_OBS_PS,HPR_O2_PS,HPR-OBS-PS,HPR-O2-PS,run_lenient_success_rate,B_minus_A,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
OBS_vs_O2_PS,HPR_OBS_PS,HPR_O2_PS,HPR-OBS-PS,HPR-O2-PS,run_secondary_strict_success_rate,B_minus_A,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
O2_PS_vs_O2_JS,HPR_O2_PS,HPR_O2_JS,HPR-O2-PS,HPR-O2-JS,run_mean_scaled_progress_x100,B_minus_A,5,-0.7731574486017229,0.5237941681168955,-0.9574384799003604,-1.295255868792534,-0.04723509693145722,0.0625,-0.04723509693145722,-0.9574384799003604,-1.295255868792534,-1.1460685689449313,-0.4197892284393312
O2_PS_vs_O2_JS,HPR_O2_PS,HPR_O2_JS,HPR-O2-PS,HPR-O2-JS,run_mean_forward_body_lengths,B_minus_A,5,-0.8590206111594767,0.5818818436312622,-1.0637535422724478,-1.4390548401047427,-0.0526048025568393,0.0625,-0.0526048025568393,-1.0637535422724478,-1.4390548401047427,-1.2732367124949207,-0.46645315836843304
O2_PS_vs_O2_JS,HPR_O2_PS,HPR_O2_JS,HPR-O2-PS,HPR-O2-JS,run_mean_rotation_span_degrees,B_minus_A,5,314.18014918967884,348.20249124721533,273.5571695142832,-12.66818870491959,782.2753002589216,0.25,782.2753002589216,-12.66818870491959,273.5571695142832,-12.106575098894279,539.8430399790034
O2_PS_vs_O2_JS,HPR_O2_PS,HPR_O2_JS,HPR-O2-PS,HPR-O2-JS,run_lenient_success_rate,B_minus_A,5,0.48,0.5019960159204453,0.4,0.0,1.0,0.25,1.0,0.0,0.4,0.0,1.0
O2_PS_vs_O2_JS,HPR_O2_PS,HPR_O2_JS,HPR-O2-PS,HPR-O2-JS,run_secondary_strict_success_rate,B_minus_A,5,0.47000000000000003,0.5044799302251776,0.35,0.0,1.0,0.25,1.0,0.0,0.35,0.0,1.0
HPR_vs_SGRR_O2_JS,HPR_O2_JS,SGRR_O2_JS,HPR-O2-JS,SGRR-O2-JS,run_mean_scaled_progress_x100,B_minus_A,5,0.8902927348375321,0.7957592336326146,0.8869643774032596,-0.29378291654586786,1.8123863911628721,0.125,-0.29378291654586786,1.8123863911628721,1.3732572764158246,0.672638545751572,0.8869643774032596
HPR_vs_SGRR_O2_JS,HPR_O2_JS,SGRR_O2_JS,HPR-O2-JS,SGRR-O2-JS,run_mean_forward_body_lengths,B_minus_A,5,0.9890562979846365,0.883885543815271,0.9853666833637087,-0.3260660058542517,2.013352167761661,0.125,-0.3260660058542517,2.013352167761661,1.5254816710616246,0.7471469735904401,0.9853666833637087
HPR_vs_SGRR_O2_JS,HPR_O2_JS,SGRR_O2_JS,HPR-O2-JS,SGRR-O2-JS,run_mean_rotation_span_degrees,B_minus_A,5,580.2960739530974,397.0139808311268,546.4012875916479,31.643425178638836,1104.6693245481747,0.0625,31.643425178638836,1104.6693245481747,448.677854334558,770.0884781124676,546.4012875916479
HPR_vs_SGRR_O2_JS,HPR_O2_JS,SGRR_O2_JS,HPR-O2-JS,SGRR-O2-JS,run_lenient_success_rate,B_minus_A,5,0.51,0.5152669211195301,0.6,-0.050000000000000044,1.0,0.25,-0.050000000000000044,1.0,0.6,1.0,0.0
HPR_vs_SGRR_O2_JS,HPR_O2_JS,SGRR_O2_JS,HPR-O2-JS,SGRR-O2-JS,run_secondary_strict_success_rate,B_minus_A,5,0.52,0.5179285665031425,0.65,-0.050000000000000044,1.0,0.25,-0.050000000000000044,1.0,0.65,1.0,0.0
