episode_id,configuration_id,paper_label,formal_run,training_seed,checkpoint_batch,reset_seed,npz_relative_path,npz_episode_index,formal_rolling,lenient_full_rotation_span,forward_body_lengths,rotation_span_degrees,net_rotation_degrees,desired_net_rotation_degrees,desired_active_rotation_fraction,technical_exclusion,technical_reason,initial_body_length,forward_body_lengths_recomputed,rotation_span_degrees_recomputed,rotation_reversal_index,shape_rms_radians,shape_velocity_rms_radians,shape_pc1_variance_fraction,shape_period_steps,shape_repeatability,shape_cycle_count,shape_spectral_top3_fraction,periodic_crawling_descriptor,positive_cycle_fraction,median_cycle_progress_body_lengths,post_transient_progress_body_lengths,positive_progress_window_count,shape_window_pass_count,support_window_pass_count,valid_support_window_count,window_progress_body_lengths,window_shape_amplitude_degrees,window_support_span_indices,window_valid_contact_samples,support_span_indices,support_alternation_count,support_repeatability,contact_valid_fraction,mean_contact_strength,automated_gait_label,kinematic_crawling_screen,automated_crawling_candidate,gate_not_formal_rolling,gate_rotation_below_crawling_limit,gate_forward_progress,gate_post_transient_progress,gate_sustained_window_progress,gate_repeated_internal_deformation,gate_repeated_support_migration,gate_support_windows_observable
HPR_DTH_PS__run0__reset20264101,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264101,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,0,False,False,-0.006984520027769197,1.1942614868822305,0.03935570752217196,-0.03935570752217196,0.0,False,,9.00504617253208,-0.0069845200277691985,1.194261446595192,3.652633751016765e-12,0.11260922714267424,0.0021737920933421278,0.9726715181635388,20.0,0.9658803982211772,45.05,0.6405461440565986,True,0.2222222222222222,0.0,-0.00567933539691244,0,0,0,4,-0.00566849124;-1.0844159e-05;0;0,10.0158477;0.0102450166;2.05918901e-06;5.70444461e-14,0.200510263;0.00397050381;4.76837158e-07;0,226;226;226;226,0.017507076263427734,4.0,0.7106614421018784,1.0,0.8238609433174133,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264102,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264102,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,1,False,False,0.03544869397783703,5.693080590596032,-0.2519478475432634,0.2519478475432634,0.5402298850574713,False,,8.992629925424678,0.03544869397783703,5.6930806040763855,0.8759645841584779,0.1612100188632676,0.002823040567426376,0.9387434803288653,20.0,0.9608159183673474,45.05,0.8672873064292672,True,0.26666666666666666,0.0,0.02226675065934013,0,0,0,4,0.023333436;-0.00106630191;-3.83439409e-07;0,7.27197685;0.843672131;9.46851199e-05;3.49784768e-14,0.980484903;0.0810682774;2.15768814e-05;0,226;226;226;226,0.712860107421875,2.0,0.8614952213792416,1.0,0.8241487145423889,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264103,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264103,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,2,False,False,0.018552739173525155,4.622097909178466,-0.06788040508458838,0.06788040508458838,0.4857142857142857,False,,9.012041613310572,0.01855273917352514,4.622098118066788,0.873106510787497,0.11322614207498087,0.0023771296005861624,0.9184848877844696,20.0,0.9446122385131736,45.05,0.6708469325278569,True,0.28888888888888886,0.0,0.008381948960342202,0,0,0,4,0.00837571438;6.23061433e-06;3.8029863e-09;1.65347227e-10,9.63727817;0.0178709327;2.8363059e-06;1.19806288e-08,0.808441043;0.00853574276;0;0,226;226;226;226,0.35164546966552734,2.0,0.8603474113032554,1.0,0.8238904476165771,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264104,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264104,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,3,False,False,0.02400993425843837,4.8108075248777755,-0.11738643036765296,0.11738643036765296,0.5,False,,9.009106802611093,0.024009934258438354,4.810807466506958,0.8579839184511009,0.12394273052266597,0.0025018059807903675,0.9125567478808514,20.0,0.95066762861726,45.05,0.727914708401749,True,0.26666666666666666,0.0,0.014600725154126222,0,0,0,4,0.014641414;-4.06888345e-05;0;0,9.82599972;0.0295590133;1.0288825e-06;6.05249533e-14,0.85296756;0.00894212723;0;0,226;226;226;226,0.4994192123413086,2.0,0.8579648676587694,1.0,0.8239482045173645,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264105,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264105,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,4,False,False,-0.029717359772590796,5.178553634932716,0.2423593130678083,-0.2423593130678083,0.5342465753424658,False,,9.007152880067189,-0.029717359772590782,5.178553462028503,0.7743297570396621,0.13775138362209724,0.002538112236898233,0.9131620075321534,20.0,0.9549833236716261,45.05,0.7928605301549908,True,0.3111111111111111,0.0,-0.020441607362346584,0,0,0,4,-0.0203900393;-5.15614109e-05;-6.61747897e-09;0,9.55663818;0.0787303814;3.48068046e-06;5.24591947e-14,0.923217773;0.0263400078;9.53674316e-07;0,226;226;226;226,0.6270847320556641,2.0,0.8541493324749122,1.0,0.8240162134170532,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264106,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264106,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,5,False,False,0.03656645758117149,5.679245989142145,-0.31262594523448706,0.31262594523448706,0.5476190476190477,False,,8.981119696057707,0.03656645758117149,5.679246127605438,0.9077086567698157,0.162880047678025,0.0028498174132228424,0.9215272105806858,20.0,0.960953561871515,45.05,0.8665149228751111,True,0.3111111111111111,0.0,0.026880739974515063,0,0,0,4,0.0286369341;-0.00175531481;-8.79357552e-07;0,7.22139656;1.20886034;0.000141367214;7.89488016e-14,0.967373908;0.095572114;2.27689743e-05;0,226;226;226;226,0.7084851264953613,2.0,0.8580840242726364,1.0,0.8241612911224365,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264107,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264107,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,6,False,False,0.029632486471643082,5.085656033124379,-0.42903539074986274,0.42903539074986274,0.5211267605633803,False,,9.006730384027463,0.029632486471643082,5.085655927658081,0.8699412978308194,0.14674290743269727,0.0026115682622325537,0.8801985007338933,20.0,0.9601436579471501,45.05,0.8156172515901238,True,0.3333333333333333,0.0,0.025752816954737807,0,0,0,4,0.0256217765;0.000130892925;1.47576703e-07;0,9.06898001;0.188113384;4.13362492e-05;8.32932664e-14,0.874237239;0.066208005;7.15255737e-06;0,226;226;226;226,0.6190268993377686,2.0,0.847710885998137,1.0,0.8240591287612915,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264108,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264108,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,7,False,False,0.14380714340719525,23.352208667278525,3.7112895785683224,-3.7112895785683224,0.5,False,,9.014610749081008,0.14380714340719525,23.352208137512207,0.6796914805983327,0.29808181642757536,0.004935134027081718,0.6357603203278495,20.0,0.9647101210920312,45.05,0.869613849138966,True,0.7111111111111111,0.002889002035691904,0.1315390476695164,1,0,1,4,0.12044816;0.0450041479;0.033193137;-0.0671063975,10.3536684;3.86177084;6.56847369;9.77726797,2.17697442;1.36163354;0.0198367834;0.996819615,226;226;226;226,1.6436200141906738,2.0,0.8656950605501254,1.0,0.825462281703949,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264109,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264109,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,8,False,False,-0.021480000166089232,4.619168234176493,0.18983565630816387,-0.18983565630816387,0.5205479452054794,False,,9.00152258142669,-0.021480000166089232,4.619168281555176,0.8537729949095962,0.1224729554638256,0.0025212552060008137,0.9009684065035577,20.0,0.9506467623804947,45.05,0.7110215734028602,True,0.26666666666666666,0.0,-0.014797443757929912,0,0,0,4,-0.0148306561;3.32123809e-05;0;0,9.9163164;0.0249383865;2.47608627e-14;2.47608627e-14,0.820890069;0.00867462158;0;0,226;226;226;226,0.36050891876220703,2.0,0.8475865442114834,1.0,0.8239308595657349,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264110,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264110,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,9,False,False,-0.007962835923937858,1.7732275210145907,0.2038404928146015,-0.2038404928146015,0.7142857142857143,False,,9.010607389996418,-0.007962835923937858,1.7732274532318115,0.7228328474453776,0.0989510644211987,0.0020006080828509696,0.9633515299728279,20.0,0.9557537251615222,45.05,0.5471062623779276,True,0.37777777777777777,0.0,-0.004134914670446951,0,0,0,4,-0.00413337711;-1.53689907e-06;0;-6.61494192e-10,9.34012687;0.00528879246;5.99934524e-07;1.77331519e-07,0.305678606;0.00242829323;0;0,226;226;226;226,0.040743350982666016,2.0,0.7573285512391057,1.0,0.8238224387168884,failed_other,False,False,True,True,False,False,False,False,False,True
