variant,is_primary_setting,minimum_forward_body_lengths,maximum_rotation_span_degrees,minimum_window_shape_amplitude_degrees,minimum_window_support_span_indices,crawling_candidate_total,jaccard_with_primary_crawling_set,formal_rolling_total,partial_roll_total,rocking_total,sliding_candidate_total,failed_other_total,HPR_DTH_PS_crawling_candidate,HPR_DTH_PS_stable_runs_10_of_20,HPR_THDOT_PS_crawling_candidate,HPR_THDOT_PS_stable_runs_10_of_20,HPR_OBS_PS_crawling_candidate,HPR_OBS_PS_stable_runs_10_of_20,HPR_O2_PS_crawling_candidate,HPR_O2_PS_stable_runs_10_of_20,HPR_O2_JS_crawling_candidate,HPR_O2_JS_stable_runs_10_of_20,SGRR_O2_JS_crawling_candidate,SGRR_O2_JS_stable_runs_10_of_20
D0.5_R90_A15_S1.0,False,0.5,90.0,15.0,1.0,243,0.9958847736625515,146,9,2,0,200,20,1,40,2,40,2,100,5,43,2,0,0
D0.5_R90_A15_S1.5,False,0.5,90.0,15.0,1.5,243,0.9958847736625515,146,9,2,0,200,20,1,40,2,40,2,100,5,43,2,0,0
D0.5_R90_A15_S2.0,False,0.5,90.0,15.0,2.0,243,0.9958847736625515,146,9,2,0,200,20,1,40,2,40,2,100,5,43,2,0,0
D0.5_R90_A20_S1.0,False,0.5,90.0,20.0,1.0,243,0.9958847736625515,146,9,2,0,200,20,1,40,2,40,2,100,5,43,2,0,0
D0.5_R90_A20_S1.5,False,0.5,90.0,20.0,1.5,243,0.9958847736625515,146,9,2,0,200,20,1,40,2,40,2,100,5,43,2,0,0
D0.5_R90_A20_S2.0,False,0.5,90.0,20.0,2.0,243,0.9958847736625515,146,9,2,0,200,20,1,40,2,40,2,100,5,43,2,0,0
D0.5_R90_A25_S1.0,False,0.5,90.0,25.0,1.0,243,0.9958847736625515,146,9,2,0,200,20,1,40,2,40,2,100,5,43,2,0,0
D0.5_R90_A25_S1.5,False,0.5,90.0,25.0,1.5,243,0.9958847736625515,146,9,2,0,200,20,1,40,2,40,2,100,5,43,2,0,0
D0.5_R90_A25_S2.0,False,0.5,90.0,25.0,2.0,243,0.9958847736625515,146,9,2,0,200,20,1,40,2,40,2,100,5,43,2,0,0
D0.5_R180_A15_S1.0,False,0.5,180.0,15.0,1.0,243,0.9958847736625515,146,9,0,0,202,20,1,40,2,40,2,100,5,43,2,0,0
