condition_id,family,episode_count,training_seed_count,success_episodes,success_rate,successful_training_seeds_ge_10of20,success_episodes_by_training_seed,forward_body_lengths_mean,forward_body_lengths_std,desired_net_rotation_degrees_mean,desired_net_rotation_degrees_std,desired_active_rotation_fraction_mean,desired_active_rotation_fraction_std,roll_pulse_count_mean,roll_pulse_count_std,mean_roll_pulse_interval_steps_mean,mean_roll_pulse_interval_steps_std,tail_launch_count_mean,tail_launch_count_std,pulse_fail,rotation_fail,direction_fail,forward_fail,interval_fail
C11,identity_baseline,100,5,99,0.99,5,"{""9201"":19,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.307024672169727,0.6684527691904593,932.0056237912623,194.14366412193047,0.9227199801769592,0.05878460275335052,14.11,2.870174210740526,68.25958991756437,25.516388379878155,7.38,1.5347964034359736,0,1,1,0,1
C11_J01_K1_ZERO,full_c11_channel_zero,100,5,47,0.47,3,"{""9201"":18,""9202"":15,""9203"":2,""9204"":0,""9205"":12}",1.5397430951059468,1.127613756118412,338.86784228911426,245.20789867350226,0.7176135246005769,0.14032396923856266,5.08,3.67880415352598,102.93561093561094,54.89176012295951,3.22,2.317671245021606,35,53,45,34,29
C11_J01_K1_SCALE_0P5,full_c11_channel_scale_0p5,100,5,98,0.98,5,"{""9201"":19,""9202"":20,""9203"":20,""9204"":19,""9205"":20}",3.2308316583913235,0.7423099833215189,889.0165795335074,250.4249908752407,0.9127607731158847,0.06369213555185987,13.47,3.6917610973626127,72.25038927966598,28.261246364768784,7.28,1.6797618878876848,0,2,2,1,1
C11_J01_K1_SCALE_1P5,full_c11_channel_scale_1p5,100,5,100,1.0,5,"{""9201"":20,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.4490475293492757,0.6863972560658342,969.4125992679744,190.18045246484533,0.9348812439537091,0.04855101984107519,14.56,2.7177932224508914,65.1744251818443,15.056277724116395,7.09,1.5303267624922463,0,0,0,0,0
C11_J01_K1_SIGN_FLIP,full_c11_channel_sign_flip,100,5,0,0.0,0,"{""9201"":0,""9202"":0,""9203"":0,""9204"":0,""9205"":0}",0.30098097886594766,0.4176982962636183,23.23650542959045,68.84842724132817,0.5422132659770024,0.05443889123202895,0.34,1.0883014288330235,75.05555555555554,9.202119991919199,0.31,0.9969453345093703,93,100,100,91,91
C11_J01_K1_STATIC_MEAN,full_c11_channel_static_mean,100,5,93,0.93,5,"{""9201"":18,""9202"":20,""9203"":15,""9204"":20,""9205"":20}",3.0189794401294,0.8280590488305996,828.4662687043882,265.59443247983364,0.8898159205531085,0.08835672420320996,12.52,4.006195202433352,75.75109550794922,27.9055960458397,6.76,1.8499729727755485,4,5,5,4,0
C11_J01_K1_TIME_PERMUTED,full_c11_channel_time_permuted,100,5,94,0.94,5,"{""9201"":19,""9202"":20,""9203"":15,""9204"":20,""9205"":20}",3.13488328675735,0.7949367625423224,870.2943225552696,255.3607703602876,0.9054812263971589,0.08477433896984618,13.09,3.7764930822126503,69.11001646650563,14.429600284101264,7.03,1.8997631431312694,5,5,6,5,0
C11_J01_K2_ZERO,full_c11_channel_zero,100,5,26,0.26,1,"{""9201"":6,""9202"":0,""9203"":3,""9204"":0,""9205"":17}",1.321258990390491,1.05784048844007,301.0580708204969,312.24983964631167,0.696130046717987,0.14109344934182058,4.52,4.942630878388553,102.72965312465313,113.95944831813469,2.63,2.704274394361637,56,73,62,51,40
C11_J01_K2_SCALE_0P5,full_c11_channel_scale_0p5,100,5,93,0.93,5,"{""9201"":15,""9202"":18,""9203"":20,""9204"":20,""9205"":20}",3.3342208568316254,0.9411888149039519,921.2707379013118,270.8161112697474,0.9151663339347123,0.08879289674501745,13.96,3.9418777251457207,69.96763191053013,37.683944662717465,6.75,1.9150718002205558,3,6,7,4,2
C11_J01_K2_SCALE_1P5,full_c11_channel_scale_1p5,100,5,98,0.98,5,"{""9201"":20,""9202"":20,""9203"":20,""9204"":18,""9205"":20}",3.2249878057807235,0.7238606508847341,893.7738921534811,226.23089931129715,0.9192384233461329,0.06689564340913158,13.56,3.2873089298086966,71.89524302099689,28.654038105452866,7.16,1.6353592877407706,0,2,2,2,1
C11_J01_K2_SIGN_FLIP,full_c11_channel_sign_flip,100,5,0,0.0,0,"{""9201"":0,""9202"":0,""9203"":0,""9204"":0,""9205"":0}",-0.043134938197982545,0.40708647329273534,6.375168083211849,66.06031112695356,0.5717650423059762,0.0840928136877516,0.24,0.7631513611335564,54.916666666666664,28.862982508037163,0.16,0.463033476111609,98,100,93,100,94
C11_J01_K2_STATIC_MEAN,full_c11_channel_static_mean,100,5,27,0.27,1,"{""9201"":3,""9202"":1,""9203"":3,""9204"":0,""9205"":20}",1.2330766465994767,1.3803470175885673,333.67791801623605,390.1124136881811,0.669049961957374,0.15810561709951904,5.2,6.019966777316965,82.28093808529329,50.884953952520846,2.94,2.5370061095708856,51,73,70,59,37
C11_J01_K2_TIME_PERMUTED,full_c11_channel_time_permuted,100,5,37,0.37,1,"{""9201"":8,""9202"":3,""9203"":6,""9204"":0,""9205"":20}",1.4129215072601093,1.3583778256484016,374.638062565596,385.176697289263,0.6967946688411536,0.16118530359520283,5.82,5.955468075642754,90.51401944110977,84.30037778890676,3.55,2.861380785564899,45,63,57,52,32
C11_J02_K1_ZERO,full_c11_channel_zero,100,5,13,0.13,1,"{""9201"":0,""9202"":0,""9203"":0,""9204"":0,""9205"":13}",0.26866764655215064,0.7216896409384949,86.61217932780939,184.59597956692636,0.5642313617242415,0.08958428742607905,1.23,2.7013144948339503,108.7392458418774,47.70732338678613,0.83,1.8003055296254578,82,87,87,85,81
C11_J02_K1_SCALE_0P5,full_c11_channel_scale_0p5,100,5,100,1.0,5,"{""9201"":20,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.2245384888172826,0.6262259640752778,911.154426747265,174.40979818807946,0.9308384913551297,0.039185169450494314,13.82,2.5588278566562463,67.93744614372555,16.311538640604578,6.88,1.4302447343024898,0,0,0,0,0
C11_J02_K1_SCALE_1P5,full_c11_channel_scale_1p5,100,5,97,0.97,5,"{""9201"":18,""9202"":20,""9203"":19,""9204"":20,""9205"":20}",3.3393844249508287,0.8345884080626153,937.7217576286965,249.00855627062253,0.9189249333578986,0.0739162308492007,14.15,3.6065911883661004,69.09221621288069,30.170384384119686,6.92,1.64730082255792,1,2,3,1,1
C11_J02_K1_SIGN_FLIP,full_c11_channel_sign_flip,100,5,0,0.0,0,"{""9201"":0,""9202"":0,""9203"":0,""9204"":0,""9205"":0}",-0.01617899015682317,0.17624501135144957,2.9562702747906617,2.124514954217014,0.5144638763640951,0.042999064139688216,0.0,0.0,,,0.0,0.0,100,100,100,100,100
